Name,Price,Relative Price,Units,Supermarket,Link,Image
Tesco British Double Cream 600Ml,2.45,4.1,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/262479736,https://digitalcontent.api.tesco.com/v2/media/ghs/b16b0b37-7310-47f8-ac0c-25eca5c633f4/3574efa6-4c46-4108-9f63-7311b877e4d7.jpeg?h=225&w=225
Tesco 2 Boneless Salmon Fillets 260G,4.5,17.31,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/296920881,https://digitalcontent.api.tesco.com/v2/media/ghs/cd9ae21e-de27-4fe8-95ac-cab2e0c513bd/d7426e3d-8aca-4dda-aa2a-567c984a88d4.jpeg?h=225&w=225
Rosedene Farms Gala Apples 6 Pack,1.49,0.25,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/305831903,https://digitalcontent.api.tesco.com/v2/media/ghs/f1674735-1884-4aee-abb4-b1d5f9984f93/2b07a42a-f64a-433e-bd02-c959e9d0700c.jpeg?h=225&w=225
Tesco British Double Cream 300Ml,1.5,5.0,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/262479533,https://digitalcontent.api.tesco.com/v2/media/ghs/b7c2751e-2448-4a1c-922e-f7d2c4f03db8/deb26847-c69c-4b99-a315-712c5bc64ac8.jpeg?h=225&w=225
Tesco Medium Free Range Eggs 6 Pack,1.65,0.28,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/250802613,https://digitalcontent.api.tesco.com/v2/media/ghs/3a4e0d3a-5523-45d0-83ab-9582aac95007/399afeca-6acc-4b48-b18e-55505b6ae204.jpeg?h=225&w=225
Tesco Medium Free Range Eggs 12 Pack,2.7,0.22,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/260298462,https://digitalcontent.api.tesco.com/v2/media/ghs/5d411520-2862-4096-bd0f-7e4d56ca48c5/251efcb7-2fd8-49f0-86f6-be76082d6786.jpeg?h=225&w=225
Nightingale Farms Peppers 375G,1.59,4.24,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/296057883,https://digitalcontent.api.tesco.com/v2/media/ghs/d1a0a84d-412e-46e3-ad30-f8fe477eb95b/bf782f4c-74ab-4d10-8024-529789623068_1875119675.jpeg?h=225&w=225
Tesco Pure Apple Juice 1 Litre,1.35,1.4,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/254859580,https://digitalcontent.api.tesco.com/v2/media/ghs/a6bf987f-56a9-4b02-ac6d-df68bee81851/9d238ed4-4133-454d-9cd0-4f7197c38f1d_1928455853.jpeg?h=225&w=225
Tesco Organic Fair Trade Bananas 5 Pack,1.5,0.3,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/303869954,https://digitalcontent.api.tesco.com/v2/media/ghs/5c6b8de5-90f7-4c17-b3db-a01ef038d1fd/494c4c4e-1800-4c19-815e-d6cb1f4f6e44_230375135.jpeg?h=225&w=225
Tesco Lemons 4 Pack,1.2,0.3,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/257875814,https://digitalcontent.api.tesco.com/v2/media/ghs/47a1ef43-288f-4b90-924e-1cb0e5e85613/0d4d875d-295c-4ccc-8786-421c1dc5e0b6_286674398.jpeg?h=225&w=225
Tesco British Chicken Breast Portions 650G,4.69,7.22,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/294007923,https://digitalcontent.api.tesco.com/v2/media/ghs/9f2e3e0a-0751-4441-bea9-0ad5c5d15680/65f0fab8-57ec-48ce-a074-c67a9d91b676.jpeg?h=225&w=225
Rosedene Farms Small Apple 6 Pack,1.09,0.18,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/292249576,https://digitalcontent.api.tesco.com/v2/media/ghs/3450065a-a9da-42e7-89fe-b9b5d54f4659/2c31dc74-4efd-49ee-b0fa-3219b10d3133_1342735814.jpeg?h=225&w=225
Tesco Closed Cup Mushrooms 400G,1.29,3.22,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/312570515,https://digitalcontent.api.tesco.com/v2/media/ghs/285d405b-5e37-4b5f-97a8-adab49238c5c/b864cae9-b196-4e71-88c2-3e1cdf4d7e4f.jpeg?h=225&w=225
Tesco 100% Pure Orange Juice Smooth 1 Litre,2.0,2.0,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/259151850,https://digitalcontent.api.tesco.com/v2/media/ghs/37c8e8dc-6fea-479e-94ef-95f808bb222c/8d9a26f6-d5db-44d7-8e6b-07f1f65c262f.jpeg?h=225&w=225
Tesco Blueberries 250G,2.6,10.4,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/287357000,https://digitalcontent.api.tesco.com/v2/media/ghs/80f5c7be-cbe4-4d00-a7b8-bd2eee7dd7a0/e997dd27-1db2-4774-9ebe-9e7d11dff268.jpeg?h=225&w=225
Growers Harvest Orange Juice Smooth 1L,1.45,1.4,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/300473499,https://digitalcontent.api.tesco.com/v2/media/ghs/16fa0136-d0cc-4617-b9ee-05cdf2424200/9f087c4b-01c8-47f7-9f6f-dd8d463ea372.jpeg?h=225&w=225
Tesco Carrots Loose,0.11,0.69,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/254638565,https://digitalcontent.api.tesco.com/v2/media/ghs/47e5311e-2827-46ef-a97d-3b9a8d9aa8e9/snapshotimagehandler_1804754647.jpeg?h=225&w=225
Tesco Leeks 500G,1.39,2.78,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/267524806,https://digitalcontent.api.tesco.com/v2/media/ghs/d891fce3-2a4a-40fa-88ee-536a764d75ed/1b9c3c01-d7dd-4c11-ba03-d42888b0f540.jpeg?h=225&w=225
Tesco Large Baking Potatoes Loose,0.24,0.79,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/253558183,https://digitalcontent.api.tesco.com/v2/media/ghs/1352f7b2-72e9-40bd-a119-599ea6d6e7f9/522e9755-c030-4f7f-93d1-9a629deec16f.jpeg?h=225&w=225
Tesco Braeburn Apple 5 Pack,1.7,0.34,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/284475671,https://digitalcontent.api.tesco.com/v2/media/ghs/83d4ce0b-6e4a-471d-9298-9a7b6dc00136/aa9e05e9-ffd4-451d-860d-3cbb946d19dc.jpeg?h=225&w=225
Biocol Skimmed Milk 1 Litre,1.8,1.8,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/314575841,https://digitalcontent.api.tesco.com/v2/media/ghs/36495e7d-6600-49c5-aa99-83b12ebc7dc7/e3ecb3a8-f5a5-4294-bae0-7c9bbf5b5ae2_780448869.jpeg?h=225&w=225
Tesco British Semi Skimmed Longlife Uht Milk 1 Litre,1.2,1.2,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/254278040,https://digitalcontent.api.tesco.com/v2/media/ghs/46fc9809-12b4-4549-8ec4-953cce4fc370/d6637402-1f9a-4599-8b49-844d75ae8d9d.jpeg?h=225&w=225
Tesco Finest Piccobella Tomatoes 220G,2.0,9.09,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/308091212,https://digitalcontent.api.tesco.com/v2/media/ghs/1408a4c6-9ee8-4b29-9d13-578d452bc4cf/ed7f1a1c-cbcb-4b51-b46f-e302aadd6f36.jpeg?h=225&w=225
"Tesco British Skimmed Milk 1.136L, 2 Pints",1.2,1.06,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/252208041,https://digitalcontent.api.tesco.com/v2/media/ghs/e29f5ba6-9d65-4035-8bb6-08b0d3fc0737/3f31d147-dc9d-4e19-9074-33ded6872c3b.jpeg?h=225&w=225
Tesco Gala Apple Minimum 5 Pack,1.7,0.34,per_unit,Tesco,https://www.tesco.com/groceries/en-GB/products/284475550,https://digitalcontent.api.tesco.com/v2/media/ghs/cd348eeb-1cbe-44f2-9f48-b1d5f90ad4a7/12fb5913-6738-4c9c-80b3-bc7c5c39906b.jpeg?h=225&w=225
Tesco Filtered Semi Skimmed Milk 2 Litre,1.9,0.95,per_litre,Tesco,https://www.tesco.com/groceries/en-GB/products/253737115,https://digitalcontent.api.tesco.com/v2/media/ghs/1e727758-96af-4afb-b9dd-94e242125cb1/22c07097-79c0-41a0-8d6f-903560e6ff05.jpeg?h=225&w=225
Tesco Unsmoked Back Bacon 10 Rashers 300G,1.89,6.3,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/267991943,https://digitalcontent.api.tesco.com/v2/media/ghs/8cd82c24-0925-45b5-8a35-7e40237810f7/c7c7accf-1de4-42e4-bb8a-fb7d4dd207e1_1701218471.jpeg?h=225&w=225
Jaffa Clementine Or Sweet Easy Peeler 600G,2.0,3.33,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/288135169,https://digitalcontent.api.tesco.com/v2/media/ghs/45654b37-562d-4ac9-bf04-e33cb68bc500/a9b2d830-e00a-419e-8909-2c748b8ba25d.jpeg?h=225&w=225
Tesco Finest Baby Potatoes 750G,1.25,1.67,per_kilo,Tesco,https://www.tesco.com/groceries/en-GB/products/273150945,https://digitalcontent.api.tesco.com/v2/media/ghs/39b07fce-d5dd-4712-8815-99310719b7ac/77e00e58-d213-4530-b9f9-a0ab5635b74e.jpeg?h=225&w=225
